Array size;delta(k)=delta(k-1)/2;delta(k)=delta(k-1)*5/11;delta(k)={2^n-1} n>0;delta(k)={4^n+3*2^(n-1)+1,1} n>0;delta(k)={2^n*3^m}n,m>0;empirical,delta(k-1)=delta(k)*2.25;Reference sort;
100;0;0;0;0;0;0;0;
200;0;0;0;0;0;0;0;
300;0;0;0;0;1;0;0;
400;0;0;0;0;1;0;0;
500;1;0;1;0;2;1;0;
600;1;0;1;1;2;1;0;
700;2;1;2;1;3;2;0;
800;4;1;2;2;4;2;0;
900;2;2;2;2;5;2;0;
1000;3;3;3;2;6;3;0;
1100;5;4;4;3;7;3;0;
1200;5;5;5;3;9;4;0;
1300;6;2;7;4;11;5;0;
1400;7;3;7;5;12;6;1;
1500;9;4;8;6;14;6;1;
1600;9;4;8;6;16;7;1;
1700;9;4;9;7;18;8;1;
1800;11;5;11;8;19;9;1;
1900;12;12;12;9;22;10;1;
2000;13;13;13;9;25;12;1;
2100;18;14;14;11;26;13;1;
2200;20;15;16;13;28;13;1;
2300;20;15;18;12;35;16;2;
2400;27;25;18;13;35;16;3;
2500;29;18;20;14;37;17;1;
2600;26;20;27;21;40;22;1;
2700;28;24;24;17;44;21;2;
2800;30;22;27;18;55;28;2;
2900;35;14;29;20;54;29;2;
3000;40;16;28;22;56;28;2;
3100;35;18;36;22;60;30;2;
3200;37;17;32;28;64;30;2;
3300;36;19;35;26;65;31;2;
3400;39;20;37;28;86;43;2;
3500;41;20;40;30;72;35;4;
3600;42;22;43;35;81;41;3;
3700;43;21;43;33;82;41;4;
3800;52;22;47;41;86;41;3;
3900;51;23;49;36;91;43;2;
4000;54;26;50;44;102;46;2;
4100;67;26;56;42;105;52;3;
4200;70;55;56;46;124;53;4;
4300;74;70;77;48;117;52;3;
4400;94;61;62;45;118;56;3;
4500;84;63;65;48;121;58;3;
4600;84;68;68;53;128;63;3;
4700;86;69;72;54;135;68;3;
4800;90;71;74;55;137;65;3;
4900;98;74;81;61;152;67;3;
5000;97;80;80;59;148;70;3;
5100;101;77;99;67;160;80;4;
5200;102;83;92;67;165;85;3;
5300;106;81;90;66;169;86;4;
5400;108;84;93;69;173;87;4;
5500;113;94;103;69;186;90;4;
5600;121;89;100;74;191;88;4;
5700;121;93;107;88;193;90;5;
5800;126;96;107;80;205;95;4;
5900;136;98;112;82;207;98;4;
6000;140;103;117;85;217;108;4;
6100;138;105;126;89;226;105;4;
6200;129;111;122;91;253;117;5;
6300;132;68;127;94;238;112;4;
6400;141;76;131;101;242;117;5;
6500;140;72;135;99;252;120;4;
6600;143;74;145;106;258;122;5;
6700;148;76;144;110;269;131;5;
6800;149;79;147;110;275;142;5;
6900;167;82;161;112;293;137;6;
7000;165;84;163;116;298;140;5;
7100;170;85;159;119;299;155;5;
7200;178;88;165;124;307;152;5;
7300;178;90;173;131;349;165;5;
7400;182;91;174;130;328;152;5;
7500;178;93;178;138;339;158;7;
7600;184;97;190;135;347;163;8;
7700;188;100;187;139;360;167;6;
7800;194;101;195;143;359;188;6;
7900;199;107;198;156;373;176;6;
8000;203;101;203;151;392;187;6;
8100;219;105;216;155;388;189;6;
8200;280;107;216;172;419;189;6;
8300;289;110;219;162;419;194;6;
8400;279;117;232;171;418;205;6;
8500;291;115;229;169;449;210;6;
8600;308;121;243;184;442;212;8;
8700;303;118;248;178;460;225;7;
8800;321;126;246;182;461;229;6;
8900;311;122;276;199;488;222;7;
9000;320;127;264;220;511;242;7;
9100;335;259;268;199;505;239;7;
9200;333;272;283;208;524;253;7;
9300;354;292;272;206;513;251;10;
9400;364;284;287;213;538;271;8;
9500;373;294;290;219;538;258;7;
9600;367;295;301;217;563;259;7;
9700;371;295;298;227;556;274;9;
9800;374;301;310;232;596;274;10;
9900;378;307;329;241;583;276;8;
10000;393;312;322;239;621;305;10;
